layer,feature_idx,unc_effect,inc_effect,acc_selection,acc_delta_selection,ent_selection,ent_delta_selection,beneficial
26,14351,3.4118062336682216,0.373446697230147,0.6303945306936334,0.21364477994587627,0.7807155704046703,-0.04196372691723904,True
26,6419,1.0914031326307225,0.356854026811373,0.6123059393248825,-1.5952143569292088,0.678877512877482,-0.14380178444442737,False
26,16001,0.5610722064506274,0.35362947489228824,0.6224184589089873,-0.5839623985187337,0.9376812311094437,0.11500193378753432,False
26,23375,2.0041898861579637,0.34269386414114983,0.6286853724540664,0.042728955989179696,0.8147261549526736,-0.007953142369235722,True
26,276,1.0764895147866707,0.3129178270096713,0.6331006979062812,0.4842615012106588,0.5580677920257229,-0.2646115052961865,True
26,1137,0.13770585345395556,0.15977471435633583,0.6282580828941746,0.0,0.8226104071674203,-6.889015448907632e-05,True
27,13272,3.937873965870603,0.3342296668475614,0.6299672411337416,0.17091582395669658,0.784755361573382,-0.03792393574852737,True
27,13231,2.358301312298835,0.3241534979987111,0.6293975217205526,0.11394388263780142,0.8182845667760414,-0.00439473054586792,True
27,4360,0.9076400889964927,0.32387702430057697,0.6332431277595784,0.49850448654037427,0.4916682922504047,-0.33101100507150466,True
27,5023,0.7690536104189976,0.315948139294918,0.6191425722831505,-0.9115510611024114,0.7034401099344209,-0.11923918738748851,False
27,9014,1.013079464898046,0.2867636021686866,0.6021934197407777,-2.606466315339695,0.8179440830717878,-0.004735214250121578,False
27,31449,0.4394380251074122,0.27521848331948356,0.6285429426007692,0.02848597065945313,0.8168195134624118,-0.0058597838594975915,True
27,1425,0.6275508142890763,0.2593383027978688,0.6278307933342828,-0.042728955989179696,0.8215250134137254,-0.0011542839081839507,False
28,7037,3.749136268601766,0.3287511339224851,0.6298248112804444,0.15667283862698111,0.7755768243505969,-0.047102472971312426,True
28,5890,3.5228644742894453,0.3283972632957165,0.6312491098134169,0.29910269192422456,0.7991972671500175,-0.023482030171891877,True
28,19290,2.45512755201293,0.30835906158407933,0.6244124768551489,-0.38456060390257285,0.6783177604275828,-0.14436153689432651,False
28,13351,1.2706167485503481,0.3055940505935714,0.6029055690072639,-2.5352513886910732,0.7996672000369889,-0.023012097284920485,False
28,28733,1.0478603329195955,0.2659366891254898,0.6278307933342828,-0.042728955989179696,0.8179259627797224,-0.00475333454218696,False
29,13931,2.4132728855763483,0.4855301894877333,0.6296823814271472,0.14242985329725455,0.8104539429400158,-0.012225354381893538,True
29,24981,1.2987363314093843,0.4086366376857896,0.6261216350947159,-0.21364477994587627,0.8129545623884789,-0.009724734933430512,False
29,13995,0.9052121810886395,0.38501564727193605,0.6281156530408774,-0.014242985329726565,0.8248250392201814,0.002145741898271991,False
29,9092,2.1335564038401658,0.3239980607150584,0.6284005127474719,0.014242985329726565,0.8205146030101725,-0.0021646943117368256,True
29,12331,0.8662883199317506,0.3093923751001525,0.6274035037743911,-0.08545791197834829,0.8212415239358635,-0.001437773386045893,False
29,28379,2.4628525275991544,0.28343907352577635,0.6258367753881213,-0.2421307506053294,0.6715122949982273,-0.15116700232368208,False
29,14638,1.032170967335095,0.248297814824128,0.6281156530408774,-0.014242985329726565,0.82195445363077,-0.000724843691139343,False
