category,layer,feature_idx,effect_size,accuracy,acc_delta,mean_entropy,ent_delta
both,12,14768,0.60105024743829,0.6927788064378294,-0.014242985329726565,0.5287574140259385,0.0004084405368705024
both,12,64,0.42203896065996094,0.6920666571713431,-0.08545791197835939,0.5233280823785681,-0.005020891110499859
both,12,50,0.4169425029497387,0.6904999287850734,-0.2421307506053294,0.5293846860806676,0.0010357125915996246
both,12,27,0.36670759826164356,0.6912120780515596,-0.17091582395670768,0.52726820520248,-0.0010807682865879853
both,12,20852,0.25892679744122604,0.6930636661444238,0.014242985329715463,0.5283444312784485,-4.542210619407072e-06
both,13,29475,0.5920958253234389,0.6922090870246403,-0.07121492664863283,0.5283736876817882,2.4714192720209915e-05
both,13,62,0.48629907471531464,0.6912120780515596,-0.17091582395670768,0.531214599445098,0.0028656259560300157
both,13,14702,0.4743667015378041,0.6929212362911267,0.0,0.5285147233157609,0.00016574982669292915
both,13,9185,0.46595971468140923,0.6914969377581541,-0.14242985329725455,0.5292177713619238,0.0008687978728558754
both,13,402,0.4021195322252705,0.6927788064378294,-0.014242985329726565,0.5285646429788823,0.00021566948981432965
both,14,74,0.3883605096244354,0.6922090870246403,-0.07121492664863283,0.5309545734549868,0.0026055999659188034
both,14,19020,0.37940607693000933,0.6922090870246403,-0.07121492664863283,0.5284613150695746,0.00011234158050665854
both,14,5113,0.3747646915955278,0.6913545079048569,-0.15667283862698111,0.529169613108805,0.0008206396197369958
both,14,193,0.3488884926570024,0.6923515168779376,-0.05697194131890626,0.529022561230648,0.0006735877415799951
both,14,1138,0.347185712236181,0.6936333855576129,0.07121492664862172,0.5276561677409061,-0.0006928057481618843
both,15,2040,0.551710119514528,0.6927788064378294,-0.014242985329726565,0.5292816568159252,0.0009326833268572532
both,15,4498,0.4711447999148102,0.6923515168779376,-0.05697194131890626,0.5287067283952231,0.00035775490615519434
both,15,22,0.4520449811167529,0.6930636661444238,0.014242985329715463,0.5370903313698276,0.008741357880759693
both,15,23402,0.42989601497317204,0.6929212362911267,0.0,0.5273721171223683,-0.000976856366699641
both,15,91,0.37601980204809526,0.6920666571713431,-0.08545791197835939,0.5306690179077451,0.0023200444186771696
both,16,6287,0.4557392229132162,0.6927788064378294,-0.014242985329726565,0.5281223195211827,-0.0002266539678852375
both,16,70,0.4159775854156416,0.6916393676114514,-0.12818686796752798,0.5311687711554551,0.0028197976663871804
both,16,121,0.37442448247967514,0.6924939467312349,-0.042728955989179696,0.5275038695578844,-0.0008451039311835329
both,16,3841,0.32600727032201815,0.6929212362911267,0.0,0.5289200445439594,0.0005710710548914033
both,16,17395,0.29643993335640706,0.6917817974647487,-0.11394388263780142,0.5282344939521649,-0.0001144795369030227
both,17,1988,0.4918982913682295,0.6923515168779376,-0.05697194131890626,0.5282000424005431,-0.0001489310885248729
both,17,2491,0.4028166262702909,0.6927788064378294,-0.014242985329726565,0.5281373987042108,-0.0002115747848571159
both,17,5619,0.38979363113218396,0.6934909557043156,0.05697194131889516,0.5282929123021239,-5.6061186944011965e-05
both,17,109,0.3619553393364427,0.6930636661444238,0.014242985329715463,0.529363708226247,0.0010147347371790572
both,17,30,0.3588978532593461,0.6922090870246403,-0.07121492664863283,0.5300698003298361,0.0017208268407681304
both,18,844,0.47893521099199143,0.6909272183449651,-0.1994017946161608,0.5590809426988292,0.03073196920976129
both,18,120,0.3717713202699263,0.6904999287850734,-0.2421307506053294,0.5263181787585427,-0.002030794730525254
both,18,117,0.36783517007340455,0.6936333855576129,0.07121492664862172,0.5261655988777335,-0.002183374611334443
both,18,17758,0.36687046693936215,0.6934909557043156,0.05697194131889516,0.5282720354935053,-7.693799556263148e-05
both,18,5954,0.3662882661078326,0.6926363765845321,-0.02848597065945313,0.5282229656076765,-0.00012600788139149888
both,19,114,0.47293993678383645,0.6920666571713431,-0.08545791197835939,0.5281510066952044,-0.00019796679386352434
both,19,119,0.4410824885256001,0.6920666571713431,-0.08545791197835939,0.5287366128750753,0.0003876393860073879
both,19,1339,0.42791938565895843,0.6927788064378294,-0.014242985329726565,0.5281340145792269,-0.00021495890984102317
both,19,135,0.3828960598925124,0.6927788064378294,-0.014242985329726565,0.5276716055133526,-0.0006773679757153817
both,19,12218,0.36807514200569597,0.6926363765845321,-0.02848597065945313,0.5275753938042216,-0.0007735796848463705
both,20,35,0.594865122994316,0.6926363765845321,-0.02848597065945313,0.5302680096492204,0.001919036160152432
both,20,1739,0.50908058691148,0.6927788064378294,-0.014242985329726565,0.5287137061623856,0.0003647326733176026
both,20,5362,0.494283637952156,0.6932060959977211,0.028485970659442028,0.5278509333868361,-0.000498040102231867
both,20,4,0.4670327239301853,0.6889332003988036,-0.3988035892323105,0.5453675263671178,0.017018552878049875
both,20,8043,0.45404469535387165,0.6929212362911267,0.0,0.5313212319704586,0.0029722584813905994
both,21,295,0.5085690274049112,0.6936333855576129,0.07121492664862172,0.5278008599938645,-0.0005481134952034505
both,21,38,0.45083540255380256,0.6922090870246403,-0.07121492664863283,0.5279909485882694,-0.0003580249007985037
both,21,27,0.4447791567954712,0.6867967525993448,-0.6124483691781868,0.5282742095895634,-7.476389950455964e-05
both,21,1680,0.41816264225424443,0.6926363765845321,-0.02848597065945313,0.5283696975644239,2.0724075355915694e-05
both,21,1880,0.4071593842123904,0.6932060959977211,0.028485970659442028,0.5280622626771319,-0.00028671081193609727
both,22,54,0.6039163171256038,0.6873664720125339,-0.5554764278592805,0.5078482991371246,-0.02050067435194336
both,22,4305,0.36463417704739803,0.6930636661444238,0.014242985329715463,0.5281772128745279,-0.00017176061454005076
both,22,3633,0.3575418859346678,0.6929212362911267,0.0,0.5276741976841113,-0.0006747758049566732
both,22,25321,0.345216873972193,0.6920666571713431,-0.08545791197835939,0.528374851990271,2.5878501203058235e-05
both,22,1676,0.33870632641405585,0.6929212362911267,0.0,0.5273360915750632,-0.0010128819140047263
both,23,30,0.5199146731275478,0.6892180601053981,-0.3703176185728574,0.5290639487035854,0.0007149752145174659
both,23,101,0.4895729152879333,0.6914969377581541,-0.14242985329725455,0.5272623283803634,-0.001086645108704598
both,23,31,0.39191130902256777,0.6916393676114514,-0.12818686796752798,0.5357130575777014,0.007364084088633427
both,23,1371,0.3833326482724243,0.6933485258510184,0.04272895598916859,0.5284864054170045,0.0001374319279365821
both,23,1378,0.37362149306252557,0.6933485258510184,0.04272895598916859,0.49228272165953557,-0.03606625182953238
both,24,109,0.6999393343582063,0.6906423586383706,-0.22788776527560284,0.4831439721271561,-0.045205001361911856
both,24,445,0.6909571857253685,0.6937758154109102,0.08545791197834829,0.5223223731224775,-0.006026600366590418
both,24,41,0.5544558106734607,0.6912120780515596,-0.17091582395670768,0.5239083047703758,-0.004440668718692198
both,24,1454,0.5541647650345957,0.6923515168779376,-0.05697194131890626,0.4878100026432018,-0.04053897084586616
both,24,108,0.3677672072299883,0.6932060959977211,0.028485970659442028,0.529266703280977,0.0009177297919090721
both,25,80,0.6289538678618823,0.6889332003988036,-0.3988035892323105,0.46878334069707306,-0.059565632791994894
both,25,6792,0.6018921210445306,0.6930636661444238,0.014242985329715463,0.5159734295268052,-0.012375543962262703
both,25,1926,0.42834894813935787,0.6936333855576129,0.07121492664862172,0.5292899357901277,0.0009409623010597779
both,25,224,0.4047448214855366,0.6913545079048569,-0.15667283862698111,0.5075743234348287,-0.020774650054239285
both,25,76,0.3771398184677743,0.6929212362911267,0.0,0.5279964016918616,-0.0003525717972063802
both,26,126,0.6830507116351465,0.6887907705455063,-0.4130465745620371,0.5136994765323666,-0.014649496956701369
both,26,1436,0.6151965438038164,0.6882210511323174,-0.47001851588093224,0.41501183397311464,-0.11333713951595331
both,26,49,0.5685609043952257,0.6916393676114514,-0.12818686796752798,0.5330385527329462,0.00468957924387825
both,26,36,0.5654593731051173,0.6914969377581541,-0.14242985329725455,0.5231931815944931,-0.005155791894574824
both,26,4338,0.5202965972030328,0.6912120780515596,-0.17091582395670768,0.5290544501065666,0.000705476617498646
both,27,1003,0.7044339475103601,0.6872240421592366,-0.5697194131890071,0.4246884076355983,-0.10366056585346967
both,27,3430,0.6716015600972894,0.6927788064378294,-0.014242985329726565,0.5203386501118631,-0.008010323377204864
both,27,5154,0.6296543339096593,0.6913545079048569,-0.15667283862698111,0.5260422374316651,-0.002306736057402836
both,27,46,0.46301058703284936,0.6937758154109102,0.08545791197834829,0.5290371285713065,0.0006881550822385174
both,27,1348,0.4232516016817735,0.6924939467312349,-0.042728955989179696,0.5282473212090424,-0.00010165228002556592
both,28,767,0.7053481080188471,0.6937758154109102,0.08545791197834829,0.43706179433909736,-0.09128717914997059
both,28,110,0.5483821773165098,0.689787779518587,-0.31334567725396223,0.49493200309888513,-0.03341697039018282
both,28,7990,0.5238130688019907,0.6929212362911267,0.0,0.5282945345728222,-5.443891624579145e-05
both,28,1566,0.4845363239129213,0.6882210511323174,-0.47001851588093224,0.5070936759766519,-0.02125529751241606
both,28,90,0.4372079786127116,0.6923515168779376,-0.05697194131890626,0.519593451926901,-0.008755521562166968
both,29,256,0.8015286756197529,0.6913545079048569,-0.15667283862698111,0.4505535751112283,-0.07779539837783966
both,29,72,0.5989299297635833,0.6933485258510184,0.04272895598916859,0.4811119109921801,-0.04723706249688786
both,29,2116,0.4361937653945263,0.6930636661444238,0.014242985329715463,0.5271082445142315,-0.0012407289748364025
both,29,490,0.4209818063617361,0.6903574989317761,-0.25637373593505597,0.5261658818845395,-0.002183091604528453
both,29,4336,0.415301292650239,0.687508901865831,-0.5412334425295651,0.4748520042775368,-0.05349696921153113
both,30,255,0.6751089147423475,0.6906423586383706,-0.22788776527560284,0.50720847384234,-0.021140499646727928
both,30,2777,0.4954838958381809,0.6934909557043156,0.05697194131889516,0.487501235275865,-0.04084773821320298
both,30,12129,0.46880094451735266,0.6865118928927503,-0.6409343398376399,0.48992635632243514,-0.03842261716663281
both,30,276,0.4348980394832041,0.6907847884916678,-0.21364477994588738,0.5184451232533096,-0.009903850235758349
both,30,6557,0.42101423474128535,0.6932060959977211,0.028485970659442028,0.5286462268502887,0.00029725336122077284
