category,layer,feature_idx,effect_size,accuracy,acc_delta,mean_entropy,ent_delta
both,12,7720,0.39143367949553226,0.6919242273180458,-0.09970089730808596,0.5290286832171491,0.0006797097280811792
both,12,5038,0.33901715036678826,0.6926363765845321,-0.02848597065945313,0.5283885594440011,3.958595493314121e-05
both,12,8142,0.3344593372689456,0.6927788064378294,-0.014242985329726565,0.5282424479679402,-0.00010652552112777602
both,13,13767,0.5642587829331697,0.6930636661444238,0.014242985329715463,0.5278002471332559,-0.0005487263558120459
both,13,10159,0.42303274116101147,0.6906423586383706,-0.22788776527560284,0.5296878766822521,0.0013389031931841933
both,13,1771,0.366262135036579,0.6923515168779376,-0.05697194131890626,0.5282849824756777,-6.399101339027435e-05
both,13,15602,0.316411982693237,0.6914969377581541,-0.14242985329725455,0.5285809961340038,0.00023202264493582536
both,13,10199,0.2614448641972501,0.6929212362911267,0.0,0.5283913187852303,4.234529616231608e-05
both,14,2024,0.39711628606422306,0.6919242273180458,-0.09970089730808596,0.5332958229063411,0.004946849417273191
both,14,2036,0.3814586014586057,0.6910696481982623,-0.18515880928643424,0.5288411249756062,0.0004921514865382504
both,14,6866,0.3553463658744887,0.6922090870246403,-0.07121492664863283,0.5287873343991996,0.0004383609101316077
both,14,5545,0.32289809751535803,0.6934909557043156,0.05697194131889516,0.5281079551617491,-0.00024101832731882045
both,14,6092,0.2963999340079373,0.6924939467312349,-0.042728955989179696,0.5287523258278701,0.00040335233880217647
both,15,8576,0.5265228780413053,0.6934909557043156,0.05697194131889516,0.5279350256839425,-0.0004139478051254919
both,15,7747,0.44182856429337714,0.6924939467312349,-0.042728955989179696,0.5281500999768904,-0.00019887351217751092
both,15,942,0.426753002514879,0.6917817974647487,-0.11394388263780142,0.5283533642191619,4.390730093950523e-06
both,15,8431,0.41820630464687125,0.6929212362911267,0.0,0.5281389681279076,-0.00021000536116033697
both,15,374,0.3889886096411698,0.6917817974647487,-0.11394388263780142,0.5295671105672449,0.001218137078176973
both,16,3935,0.35729404838187107,0.6924939467312349,-0.042728955989179696,0.5282805929588499,-6.838053021807067e-05
both,16,2341,0.3063068113282195,0.6924939467312349,-0.042728955989179696,0.5291017998224097,0.0007528263333417273
both,16,7629,0.30071716843681123,0.6926363765845321,-0.02848597065945313,0.5278958531045067,-0.00045312038456124526
both,16,4767,0.2921973509502958,0.6922090870246403,-0.07121492664863283,0.5283657000302546,1.6726541186673494e-05
both,16,12497,0.26707899116281514,0.6926363765845321,-0.02848597065945313,0.5275862022083296,-0.0007627712807383169
both,17,11019,0.42699507576455453,0.6923515168779376,-0.05697194131890626,0.5284735546368162,0.00012458114774827056
both,17,8637,0.3684505993930983,0.6923515168779376,-0.05697194131890626,0.5268537095091469,-0.0014952639799210576
both,17,12474,0.3232317590494428,0.6933485258510184,0.04272895598916859,0.5287285404795382,0.0003795669904702592
both,17,12709,0.3185649861562529,0.6929212362911267,0.0,0.5277396834645051,-0.0006092900245628918
both,17,11255,0.3034867947201743,0.6914969377581541,-0.14242985329725455,0.5288331968599447,0.00048422337087672407
both,18,7967,0.5268175860023788,0.6873664720125339,-0.5554764278592805,0.5339340906908733,0.005585117201805323
both,18,2716,0.3752912030196312,0.6926363765845321,-0.02848597065945313,0.5281157369251007,-0.0002332365639672318
both,18,3063,0.36810529546333604,0.6929212362911267,0.0,0.528292071339527,-5.6902149540905e-05
both,18,9854,0.3329617944244825,0.6924939467312349,-0.042728955989179696,0.5285194489369529,0.0001704754478849546
both,18,6388,0.32961888256965943,0.6927788064378294,-0.014242985329726565,0.5284030641571524,5.409066808448326e-05
both,19,13074,0.43125854204186853,0.6924939467312349,-0.042728955989179696,0.5276814512687641,-0.0006675222203038622
both,19,14277,0.42855460137337975,0.6880786212790201,-0.4842615012106588,0.5305128192613193,0.0021638457722513715
both,19,8009,0.4166086911572697,0.6924939467312349,-0.042728955989179696,0.528264970061195,-8.400342787295845e-05
both,19,14449,0.41010040975228557,0.6923515168779376,-0.05697194131890626,0.5282910868561718,-5.7886632896186896e-05
both,19,1118,0.3996291159883789,0.6922090870246403,-0.07121492664863283,0.5287259849427132,0.00037701145364521516
both,20,12440,0.4805057912625944,0.6929212362911267,0.0,0.5296375618384779,0.0012885883494099248
both,20,16025,0.45512268417571156,0.6917817974647487,-0.11394388263780142,0.5283154160706686,-3.3557418399388084e-05
both,20,328,0.44099496606506433,0.6922090870246403,-0.07121492664863283,0.5193544048832858,-0.008994568605782183
both,20,2566,0.40614100506495104,0.6916393676114514,-0.12818686796752798,0.5292923396643004,0.0009433661752324962
both,20,14574,0.38518223775367694,0.6922090870246403,-0.07121492664863283,0.5278990948767333,-0.0004498786123346976
both,21,11044,0.46929836126530156,0.6919242273180458,-0.09970089730808596,0.5261888504080882,-0.0021601230809797922
both,21,2596,0.46656074249741264,0.6929212362911267,0.0,0.5284169101521624,6.79366630944589e-05
both,21,2239,0.43572822948562107,0.6926363765845321,-0.02848597065945313,0.5279695748230158,-0.00037939866605218864
both,21,14638,0.4064583897419599,0.6929212362911267,0.0,0.5261045814049187,-0.0022443920841492826
both,21,14312,0.39129284155699245,0.6927788064378294,-0.014242985329726565,0.5288304200966842,0.0004814466076162871
